Time1	Space1	Time2	Space2
1709	5.72218	2529	17.83751
1504	2.65614	1376	0.52592
1509	2.71582	1481	2.12397
1502	2.61906	215	-17.04521
1649	4.54611	2988	21.89031
1757	5.986	2159	12.46094
1439	1.70747	1287	-0.76902
1280	-0.86542	1845	7.70614
1423	1.30699	1394	0.91495
1358	0.25785	1460	2.0024
1654	4.39559	1284	-0.82555
1431	1.55494	1500	2.57095
1299	-0.58805	1460	2.0024
1441	1.70103	1284	-0.82555
1300	-0.5793	1500	2.57095
1528	2.97892	1418	1.23522
1511	2.7198	1360	0.29757
1787	6.35428	1292	-0.70003
1502	2.59408	1427	1.31365
1442	1.71591	1383	0.61102
1295	-0.66159	1813	6.72785
1532	2.76596	1453	1.86335
1365	0.39254	1303	-0.55121
1479	2.15395	1438	1.64891
1326	-0.28442	1287	-0.79661
1721	5.81786	2950	21.6807
1349	0.14267	1459	1.97803
1453	1.87458	1294	-0.6733
1302	-0.55634	1518	2.80779
1508	2.66926	1864	7.92499
1409	1.08655	1380	0.61525
1362	0.3241	1437	1.59604
1517	2.62343	1302	-0.59199
1634	4.11351	1727	5.80982
1518	2.57183	1508	2.53403
1545	2.95865	1420	1.35988
1435	1.5941	1292	-0.72753
1293	-0.70987	1554	3.22102
1507	2.60584	1444	1.64257
1426	1.44112	1350	0.13674
1302	-0.57783	2590	18.32252
1543	2.90208	1816	6.76197
1514	2.75605	1689	5.09367
1515	2.80504	1460	1.98365
1532	3.00504	1292	-0.71553
1701	5.58885	2645	19.58151
1514	2.79249	1385	0.67674
1773	6.53786	1609	3.88305
1449	1.70562	1556	3.09096
1359	0.27175	2861	20.5037
1313	-0.38513	2269	14.04792
1519	2.59545	1510	2.71115
1419	1.20266	2645	19.58151
1381	0.59346	1385	0.67674
1403	0.98198	1609	3.88305
1371	0.46347	1556	3.09096
1275	-0.94635	2861	20.5037
1648	4.54826	2269	14.04792
1427	1.48986	1510	2.71115
1300	-0.57533	1887	8.34174
1474	2.01971	1516	2.79812
1386	0.64527	1277	-0.95565
1430	1.51456	1388	0.69285
1293	-0.71267	1415	1.2298
1540	2.88052	1394	0.89712
1782	6.30146	1887	8.34174
1825	7.39601	1516	2.79812
1536	3.07718	1277	-0.95565
1832	7.32111	1388	0.69285
1636	4.39434	1415	1.2298
1466	2.07115	1394	0.89712
1295	-0.67135	1963	9.51634
1655	4.62673	1290	-0.73698
1666	4.77473	1693	5.14371
1709	5.70753	1691	4.86634
1501	2.59631	1681	4.98158
1457	1.9903	1466	2.07255
1276	-0.91999	1303	-0.5384
1788	6.39955	1429	1.3716
1378	0.54258	1377	0.5407
1587	3.84095	1681	4.98158
1535	3.06381	1466	2.07255
1770	5.8979	1303	-0.5384
1706	5.60938	1429	1.3716
1524	2.88819	1377	0.5407
1644	4.49328	1424	1.47158
1279	-0.90924	1285	-0.79026
1656	4.64319	1424	1.47158
1499	2.34379	1285	-0.79026
1446	1.60385	1522	2.64412
1377	0.50885	1430	1.54222
1435	1.61268	1285	-0.81259
1287	-0.78771	1409	1.21943
1433	1.56244	1291	-0.71191
1296	-0.66192	1523	2.87133
1762	6.05258	1523	2.87133
1514	2.76943	1295	-0.66312
1438	1.51824	1425	1.33856
1382	0.63069	1360	0.29114
1447	1.79294	1439	1.5213
1283	-0.85563	1387	0.69864
1792	6.43623	1882	8.33101
1537	3.07518	1274	-0.96938
1519	2.82618	2275	14.18256
1542	3.14672	1286	-0.79421
1444	1.65843	1445	1.64026
1354	0.22051	1366	0.38265
1302	-0.55071	1295	-0.66312
1528	2.67564	1425	1.33856
1499	2.54379	1360	0.29114
1527	2.69098	1439	1.5213
1651	4.31323	1387	0.69864
1508	2.4551	1882	8.33101
1517	2.81969	1274	-0.96938
1644	4.49407	2275	14.18256
1525	2.92003	1286	-0.79421
1305	-0.50827	1445	1.64026
1438	1.50177	1366	0.38265
1388	0.71109	1288	-0.77279
1644	4.49642	2893	23.3864
1757	5.96674	1515	2.79901
1573	3.36281	1442	1.60661
1538	2.83965	1600	3.89846
1632	4.10512	1360	0.29665
1494	2.49249	1519	2.686
1508	2.69226	1507	2.44202
1499	2.56169	1423	1.24459
1529	2.58682	1392	0.75093
1498	2.56455	1507	2.44202
1434	1.46542	1423	1.24459
1366	0.37708	1392	0.75093
1529	2.79755	1439	1.68812
1766	6.08341	1292	-0.69111
1280	-0.93366	1423	1.42275
1849	7.57262	1295	-0.66221
1489	2.18735	1364	0.36622
1517	2.54576	1364	0.36622
1408	1.17171	1418	1.34095
1313	-0.38414	1281	-0.89271
1531	2.74272	2559	18.40113
1441	1.64244	1280	-0.90648
1303	-0.59294	1458	1.96314
1533	3.02969	1297	-0.62423
1285	-0.81282	1418	1.34095
1763	6.06898	1281	-0.89271
1730	5.79458	2559	18.40113
1638	4.42145	1280	-0.90648
1299	-0.60785	1458	1.96314
1860	7.94758	1297	-0.62423
1514	2.7759	1412	1.09452
1427	1.50566	1380	0.57945
1288	-0.75459	2877	20.72161
1641	4.41154	1497	2.54687
1518	2.81774	2148	11.9424
1378	0.55628	1683	4.99923
1306	-0.50172	1463	1.87747
1561	3.44491	1389	0.71984
1525	2.90693	1598	3.94009
1298	-0.63058	1375	0.52698
1434	1.50922	1452	1.89623
1305	-0.58754	1275	-0.95464
1538	2.78903	1555	3.30443
1755	5.96049	2463	16.43998
1419	1.36792	1813	6.73056
1289	-0.75289	2880	20.77639
1420	1.35843	1370	0.46628
1298	-0.63237	1483	2.368
1418	1.33646	2267	14.07758
1313	-0.37571	1502	2.64575
1677	4.85097	1452	1.89623
1418	1.20472	1275	-0.95464
1380	0.5956	1555	3.30443
1504	2.63551	2463	16.43998
1543	3.18312	1813	6.73056
1843	7.66559	2880	20.77639
1324	-0.24524	1370	0.46628
